Year,title,opening_weekend,Profit,mpaa,genre,theaters,runtime
2019,The Irishman,52011790.67,-158089766,R,Drama,3506,210
2016,Deepwater Horizon,20223544,27792836,PG-13,Thriller/Suspense,3403,107
2010,The Chronicles of Narnia: The Voyage of the Daw…,52011790.67,367573900,PG-13,Thriller/Suspense,3506,118
2021,Godzilla vs. Kong,32200000,413980722,PG-13,Action,3084,113
2015,Terminator: Genisys,27018486,366911850,PG-13,Action,3783,126
2018,Pacific Rim: Uprising,28116535,195804673,PG-13,Action,3708,111
2004,Alexander,13687087,46594382,R,Action,2445,175
2017,War for the Planet of the Apes,56262929,484472429,PG-13,Action,4100,142
2001,Pearl Harbor,59078912,496279708,PG-13,Action,3255,182
2007,Transformers,70502384,876518785,PG-13,Action,4050,142
2019,Frozen II,130263358,1772555858,PG,Adventure,4440,103
2017,Wonder Woman,103251471,1080621629,PG-13,Action,4165,141
2013,Frozen,243390,1512741416,PG,Musical,3742,102
2016,Zootopia,75063401,1195898183,PG,Adventure,3959,108
2007,Harry Potter and the Order of the Phoenix,77108414,1081757109,PG-13,Adventure,4285,138
2005,Harry Potter and the Goblet of Fire,102685961,1026947992,PG-13,Adventure,3858,150
2003,The Matrix Reloaded,91774413,870130618,R,Action,3603,138
2007,I am Legend,77211321,691925694,PG-13,Horror,3648,100
2016,Moana,56631401,730374190,PG,Musical,3875,113
2008,Hancock,62603879,702180546,PG-13,Action,3965,92
2021,Shang-Chi and the Legend of the Ten Rings,75388688,506786584,PG-13,Action,4300,132
2005,Charlie and the Chocolate Factory,56178450,532284560,PG,Adventure,3790,115
2007,Ratatouille,47027395,682995349,G,Adventure,3940,110
2013,Thor: The Dark World,85737841,700964656,PG-13,Action,3841,111
2005,Batman Begins,48745440,414201898,PG-13,Action,3858,140
2015,Mission: Impossible—Rogue Nation,55520089,733901369,PG-13,Action,3988,131
2017,Dunkirk,50513488,558127106,PG-13,Action,4014,107
2011,Thor,65723338,480357242,PG-13,Action,3963,113
2008,Madagascar: Escape 2 Africa,63106589,629855654,PG,Adventure,4065,89
2009,X-Men Origins: Wolverine,85058003,404708917,PG-13,Action,4102,107
2009,Night at the Museum: Battle of the Smithsonian,54173286,429474784,PG,Adventure,4101,105
2011,Kung Fu Panda 2,47656302,680086610,PG,Adventure,3952,90
2015,Mad Max: Fury Road,45428128,371094228,R,Action,3722,120
2019,Pokémon: Detective Pikachu,54365242,425449514,PG,Adventure,4248,104
2003,The Matrix Revolutions,48475154,416571170,R,Action,3502,129
2018,Ready Player One,41769050,566745825,PG-13,Adventure,4234,140
2005,Chicken Little,40049778,295430488,G,Adventure,3658,82
2006,Mission: Impossible III,47743273,382889093,PG-13,Action,4059,126
2009,Angels & Demons,46204168,474251692,PG-13,Thriller/Suspense,3527,138
2004,Troy,46865412,466450617,R,Action,3411,162
2010,The Last Airbender,40325019,301486068,PG,Adventure,3203,103
2007,Bee Movie,38021044,264225854,PG,Adventure,3984,90
2009,G-Force,31706934,262254611,PG,Adventure,3697,87
2008,Bolt,26223128,292068608,PG,Adventure,3654,96
2021,Encanto,27206494,176966771,PG,Adventure,3980,109
